User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,team_playing,opponent,is_home,target,Year,Month,Day,Hour,Referee,team_playing_ft_goals_rolling_mean,team_playing_ht_goals_rolling_mean,team_playing_total_shots_rolling_mean,team_playing_shots_on_target_rolling_mean,team_playing_fouls_committed_rolling_mean,team_playing_corners_won_rolling_mean,team_playing_yellow_cards_rolling_mean,team_playing_red_cards_rolling_mean,opponent_ft_goals_rolling_mean,opponent_ht_goals_rolling_mean,opponent_total_shots_rolling_mean,opponent_shots_on_target_rolling_mean,opponent_fouls_committed_rolling_mean,opponent_corners_won_rolling_mean,opponent_yellow_cards_rolling_mean,opponent_red_cards_rolling_mean,target_rolling_mean,Date,company,mcap,operating margin,net debt / ebit,roe,croic,p/fcf,revenues,ev/fcf,total_score,gross margin,Year.1,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate.Followers,CustomerID,Age,Months as a Customer,Number of Products,Average Balance Feed Index,Personal Debt to Equity Ratio,Has Bad Payment Record,Marital Status,Age Youngest Child,Number of Workers in Household,Income,Payed the Personal Loan,Id,Time,Value,Unnamed: 0,Address,Zip,Price,Area,Room,Lon,Lat,image_path,height,width,image_id,bbox,area,iscrowd,ignore,segmentation,category_id,category_name,annotation_id,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,Unnamed:_0,Date,AveragePrice,Total_Volume,4046,4225,4770,Total_Bags,Small_Bags,Large_Bags,XLarge_Bags,type,year,region,still_alive,age,pericardial,fractional,epss,lvdd,wall_score,wall_index,alive_at_1,class,Species,Length1,Length2,Length3,Height,Width,Sex,binaryClass,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,Timestamp,Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,Class,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species.1,movie,category,year.1,worldwide gross ($m),% budget recovered,critics % score,audience % score,audience vs critics % deviance,budget,domestic gross ($m),international gross ($m),opening weekend ($m),second weekend ($m),1st vs 2nd weekend drop off,% gross from opening weekend,% gross from domestic,% gross from international,% budget opening weekend,VendorID,store_and_fwd_flag,RatecodeID,passenger_count,extra,mta_tax,tolls_amount,improvement_surcharge,total_amount,trip_type,tip_amount,Speaker Number,Sex.1,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,binaryClass.1,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3,Fulham,Arsenal,1,0,2020,9,12,12,C Kavanagh,0.8,0.2,12.0,3.8,13.0,3.4,2.6,0.0,2.4,1.0,11.8,5.8,11.8,3.8,1.4,0.0,0.0,2020-09-12 12:00:00,21st Century Fox,80237921664,0.21194,-0.31514,0.41757,0.10884,12.50452,0.03407,12.39771,"Average Quality, Fair Valuation",0.35377,2014.0,6.3,8,9130.0,4000000.0,45.0,1,0.0,3280543.0,4632.0,425.0,636.0,1120000.0,75194349,32,36,3,229,40,0,S,11,6,39498,F,2022484408,4/1/2016 7:54:00 AM,93,1,"Blasiusstraat 8 2, Amsterdam",1091 CR,685000.0,64,3,4.907736,52.356157,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[127, 359, 37, 37]",1369,0,0,[],1,mango,20,06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP,1,0,0,24.0,0.0,2432.0,46500.0,24.0,1385.0,SC,0.0,12.75,FEMALE,HOUSEWIFE,OWNED,30-05-1974,40.0,1,1,0,,0,,,46500.0,,,0,0,0,TIER 1,0,6.443632130961178,2017-04-23,1.3245219708195806,363844.1195382311,2086.3058297537577,15297.247526705523,-513.6544101822717,7256.068788165782,11363.872182208055,4579.307741661976,-1.727795183318257,organic,2016.0125711613207,Roanoke,0,71.0,0,0.26,9.0,4.6,14.0,1.0,0.0,11.0,1,23.2,25.4,30.0,38.4,13.4,,P,7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,2018-01-01T00:00:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,5.1,3.5,1.4,0.2,setosa,Ant-Man  ,Ant-Man,2015.0,518.0,398%,83%,85%,-2%,130.0,180.0,338.0,57.0,24.0,-58%,31.8,34.70%,65.30%,43.80%,1,0,0,1,2,2,0.0,2,6.36,0,0.7227059828014898,Andrew,Male,-3.639,0.418,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,P,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
2,Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7,Arsenal,Fulham,0,1,2020,9,12,12,C Kavanagh,1.6,0.6,8.2,4.0,8.6,4.2,1.0,0.0,1.2,0.8,11.8,4.0,12.0,4.8,2.0,0.0,0.6,2020-09-12 12:00:00,"A10 Networks, Inc.",1210301944,0.16897,-4.0668,0.22901,0.18061,22.31741,0.26287,18.93754,"Exceptional Quality, Fair Valuation",0.80693,2014.0,7.1,1,192000000.0,50000000.0,3306.0,2,2.0,583289.0,3465.0,61.0,186.0,12350000.0,72284570,61,48,2,8,47,0,M,13,13,68600,F,2022484408,4/1/2016 7:54:05 AM,91,2,"Kromme Leimuidenstraat 13 H, Amsterdam",1059 EL,475000.0,60,3,4.8504760000000005,52.348586,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[179, 287, 49, 49]",2401,0,0,[],1,mango,21,18955e83d337fd6b2def6b18a428ac77,290c77bc529b7ac935b93aa66c333dc3,9790,sao bernardo do campo,SP,2,0,1,24.0,1.0,1495.0,28168.0,24.0,2496.0,MO,0.0,13.65,MALE,SELF,RENT,01-09-1967,47.0,1,1,0,,0,,,28168.0,,,0,0,0,TIER 1,0,35.89309324545866,2015-03-29,1.2973756719064875,412844.3688905264,29015.67611691123,88103.38659125246,2253.7020121896185,49380.19101156521,29907.237219993727,4365.884161248597,54.79373527904615,conventional,2015.0153466875545,SanFrancisco,0,72.0,0,0.38,6.0,4.1,14.0,1.7,0.0,19.0,1,24.0,26.3,31.2,40.0,13.8,,P,7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,2018-01-01T00:01:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,4.9,3.0,1.4,0.2,setosa,Ant-Man & The Wasp,Ant-Man,2018.0,623.0,479%,87%,80%,7%,130.0,216.0,406.0,75.8,29.0,-62%,35.0,34.70%,65.20%,58.30%,1,0,0,2,2,2,0.0,2,8.5,0,0.9932517730102834,Andrew,Male,-3.327,0.496,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,N,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8,Crystal Palace,Southampton,1,1,2020,9,12,15,J Moss,1.2,0.8,6.4,2.0,13.2,4.8,1.8,0.0,1.6,0.4,13.8,4.6,13.6,6.2,1.6,0.2,0.4,2020-09-12 15:00:00,ABBOTT LABORATORIES,203156739099,0.16241,1.07425,0.14407,0.10286,32.20963,0.31686,33.23019,"Average Quality, Fair Valuation",0.55552,2014.0,6.2,1,30700000.0,28000000.0,2872.0,1,0.0,304861.0,328.0,34.0,47.0,483000.0,71272069,35,36,0,0,35,0,U,1,9,38791,T,2022484408,4/1/2016 7:54:10 AM,96,3,"Zaaiersweg 11 A, Amsterdam",1097 SM,850000.0,109,4,4.944774,52.343782,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[173, 318, 46, 33]",1518,0,0,[],1,mango,22,4e7b3e00288586ebd08712fdd0374a03,060e732b5b29e8181a18229c7b0b2b5e,1151,sao paulo,SP,3,0,0,26.0,0.0,1707.0,38900.0,30.0,1346.0,SC,0.0,12.65,MALE,SELF,RENT,04-05-1983,31.0,9,6,3,55000.0,0,,105000.0,38900.0,34.0,31.0,31,31,16,TIER 1,0,37.65137028396661,2018-02-18,1.4693042448607512,75577.2310197592,25218.753757711973,19653.059333850128,-748.2770929568208,31900.3105585198,12429.53881062939,-167.23837393315534,-84.54130096814414,organic,2016.0102411454047,Louisville,0,55.0,0,0.26,4.0,3.42,14.0,1.0,0.0,16.0,1,23.9,26.5,31.1,39.8,15.1,,P,7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,2018-01-01T00:02:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,4.7,3.2,1.3,0.2,setosa,Avengers: Age of Ultron,Avengers,2015.0,1395.0,382%,76%,82%,-6%,365.0,459.0,936.0,191.0,77.0,-60%,41.7,32.90%,67.10%,52.30%,1,0,0,1,2,2,0.0,2,7.54,0,1.007957920399979,Andrew,Male,-2.12,0.894,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,N,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7,Southampton,Crystal Palace,0,0,2020,9,12,15,J Moss,1.6,0.8,10.8,5.2,13.0,3.0,1.6,0.0,1.8,0.8,8.0,3.6,12.2,4.8,1.6,0.0,0.4,2020-09-12 15:00:00,AbbVie Inc.,294352563602,0.27528,4.17309,0.84368,0.20261,18.80688,0.70539,22.86976,"High Quality, Fair Valuation",0.67205,2014.0,6.3,1,106000000.0,110000000.0,3470.0,2,0.0,452917.0,2429.0,132.0,590.0,568000.0,70830077,59,0,0,0,45,0,U,15,7,82831,F,2022484408,4/1/2016 7:54:15 AM,98,4,"Tenerifestraat 40, Amsterdam",1060 TH,580000.0,128,6,4.789928,52.343712,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[166, 108, 53, 58]",3074,0,0,[],1,mango,23,b2b6027bc5c5109e529d4dc6358b12c3,259dac757896d24d7702b9acbbff3f3c,8775,mogi das cruzes,SP,4,0,0,24.0,0.0,2128.0,42900.0,24.0,1375.0,SC,2.0,9.5,FEMALE,SAL,RENT,10-12-1989,24.0,1,1,0,,0,,,42900.0,,,0,0,0,TIER 1,0,49.24426883188368,2015-11-15,1.6818686563557836,71767.40793465581,4466.005800659311,-8540.90925069152,-1087.3104662706971,16692.40178733141,-5718.985731520751,25867.196985160943,-33.2321265334904,organic,2017.012493865168,Albany,0,60.0,0,0.253,12.062,4.603,16.0,1.45,0.0,57.0,1,26.3,29.0,33.5,38.0,13.3,,P,8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,2018-01-01T00:03:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,4.6,3.1,1.5,0.2,setosa,Avengers: End Game,Avengers,2019.0,2797.0,699%,94%,90%,4%,400.0,858.0,1939.0,357.0,147.0,-59%,41.6,30.70%,69.30%,89.30%,1,0,0,1,2,2,0.0,2,12.96,0,1.1505720275988207,Andrew,Male,-2.287,1.809,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,N,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1,Liverpool,Leeds,1,1,2020,9,12,17,M Oliver,2.6,1.4,19.4,7.2,9.0,7.8,1.2,0.0,2.6,1.6,8.8,5.0,9.0,1.6,1.4,0.4,0.6,2020-09-12 17:00:00,ABERCROMBIE & FITCH CO /DE/,7282794772,0.14191,0.2322,0.41082,0.24858,13.24261,0.34824,13.61567,"High Quality, Fair Valuation",0.646,2014.0,4.7,8,17300000.0,3500000.0,2310.0,2,0.0,3145573.0,12163.0,610.0,1082.0,1923800.0,72658495,32,48,0,0,13,0,S,0,7,38097,T,2022484408,4/1/2016 7:54:20 AM,100,5,"Winterjanpad 21, Amsterdam",1036 KN,720000.0,138,5,4.902503,52.410538,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[207, 124, 45, 59]",2655,0,0,[],1,mango,24,4f2d8ab171c80ec8364f7c12e35b23ad,345ecd01c38d18a9036ed96c73b8d066,13056,campinas,SP,5,0,0,27.0,0.0,1824.0,40900.0,30.0,4140.0,MC,0.0,13.5,MALE,SAL,RENT,24-09-1984,30.0,1,1,0,,0,,,40900.0,,,0,0,0,TIER 1,0,44.330641516033545,2015-06-21,1.3341131570545353,77935.7740756967,866.915215297241,8097.743815153366,1260.2513193648783,-6184.326714086066,63516.0275239076,2879.52573043705,-20.58603032914821,organic,2015.007339948261,SanFrancisco,1,57.0,0,0.16,22.0,5.75,18.0,2.25,0.0,19.0,1,26.5,29.0,34.0,36.6,15.1,,N,8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,2018-01-01T00:04:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,5.0,3.6,1.4,0.2,setosa,Avengers: Infinity War,Avengers,2018.0,2048.0,683%,85%,91%,-6%,300.0,678.0,1369.0,257.0,114.0,-56%,38.0,33.10%,66.80%,85.70%,1,0,0,1,2,2,0.0,2,12.3,0,0.0,Andrew,Male,-2.598,1.938,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,N,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2,Leeds,Liverpool,0,0,2020,9,12,17,M Oliver,1.8,0.8,11.6,5.6,9.4,5.4,1.2,0.0,1.8,1.0,16.0,4.2,13.8,6.0,1.4,0.0,0.4,2020-09-12 17:00:00,Acadia Pharmaceuticals Inc,2697212553,0.02562,-19.433,0.05915,0.13166,13.20146,1.90803,10.73901,"Average Quality, Fair Valuation",0.91725,2014.0,4.6,3,29000.0,500000.0,,1,0.0,91137.0,112.0,7.0,1.0,310000.0,75837519,51,48,2,119,45,0,S,14,10,47127,F,2022484408,4/1/2016 7:54:25 AM,101,6,"De Wittenkade 134 I, Amsterdam",1051 AM,450000.0,53,2,4.875024,52.382228,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[367, 7, 34, 43]",1462,0,0,[],1,mango,25,879864dab9bc3047522c92c82e1212b8,4c93744516667ad3b8f1fb645a3116a4,89254,jaragua do sul,SC,6,0,2,28.0,3.0,1802.0,40800.0,30.0,4140.0,SC,0.0,13.0,FEMALE,SELF,RENT,03-04-1983,31.0,1,1,0,,0,,,40800.0,,,0,0,0,TIER 1,0,44.80195800834324,2015-11-29,1.3587127218875137,357712.28517510474,-448.0556836179603,97576.1878406862,15117.6737105538,27649.79689902816,58794.482460686064,1727.953698560127,-75.72610504951545,conventional,2016.0011136999703,GrandRapids,0,68.0,0,0.26,5.0,4.31,12.0,1.0,0.0,26.0,1,26.8,29.7,34.7,39.2,14.2,,N,8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,2018-01-01T00:05:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,5.4,3.9,1.7,0.4,setosa,Black Panther,Black Panther,2018.0,1336.0,668%,96%,79%,17%,200.0,700.0,636.0,202.0,111.0,-45%,28.9,52.40%,47.60%,101.00%,1,0,0,1,2,2,0.0,2,12.96,0,1.1505720275988207,Andrew,Male,-2.852,1.914,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,N,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10,West Ham,Newcastle,1,0,2020,9,12,20,S Attwell,2.2,0.8,14.2,4.6,10.6,5.0,2.0,0.0,1.4,0.8,9.6,2.6,10.6,5.2,1.0,0.0,0.4,2020-09-12 20:00:00,Accenture plc,238205732894,0.15462,-0.08805,0.25651,0.2272,25.80666,0.48393,27.66035,"High Quality, Fair Valuation",0.32609,2014.0,6.1,8,42600000.0,40000000.0,3158.0,1,0.0,3013011.0,9595.0,419.0,1020.0,8153000.0,70278834,40,36,0,0,40,0,U,7,10,38218,T,2022484408,4/1/2016 7:54:30 AM,104,7,"Pruimenstraat 18 B, Amsterdam",1033 KM,450000.0,87,3,4.896536,52.410585,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[302, 194, 35, 47]",1645,0,0,[],1,mango,26,fd826e7cf63160e536e0908c76c3f441,addec96d2e059c80c30fe6871d30d177,4534,sao paulo,SP,7,0,1,26.0,2.0,2047.0,45900.0,30.0,2332.0,SC,0.0,13.5,MALE,SAL,RENT,05-10-1964,50.0,2,1,1,,0,,,45900.0,,26.0,1,0,0,TIER 1,0,17.08238513161716,2016-09-25,1.2328358362923098,440851.6044320414,8230.95789983667,4290.935097887208,14053.879534887712,91186.0415073282,52505.62382919867,-1911.00951195678,-54.89400394085246,conventional,2014.991594025048,GrandRapids,0,62.0,0,0.23,31.0,5.43,22.5,1.875,0.0,13.0,1,26.8,29.7,34.5,41.1,15.3,,N,8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,2018-01-01T00:06:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,4.6,3.4,1.4,0.3,setosa,Black Panther 2,Black Panther,2022.0,855.0,342%,84%,94%,-10%,250.0,453.0,401.0,181.0,66.0,-64%,48.6,53.00%,46.90%,72.40%,1,0,0,1,2,2,0.0,2,17.29,0,1.6074359097634274,Andrew,Male,-3.482,2.524,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,N,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6,Newcastle,West Ham,0,1,2020,9,12,20,S Attwell,1.4,0.4,8.8,2.4,10.8,4.2,2.4,0.0,1.8,0.8,17.2,7.6,14.4,6.0,1.4,0.2,0.4,2020-09-12 20:00:00,ACME UNITED CORP,155494787,0.07324,1.91512,0.18361,0.08349,24.64657,0.30196,30.27185,"Moderate Quality, Overvalued",0.39367,2014.0,7.1,1,5750000.0,20000000.0,818.0,1,2.0,1854103.0,2207.0,197.0,593.0,130655.0,73589493,33,36,0,0,36,0,S,7,4,36741,F,2022484408,4/1/2016 7:54:35 AM,105,8,"Da Costakade 32 II, Amsterdam",1053 WL,590000.0,80,2,4.871555,52.371041,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[277, 243, 42, 49]",2058,0,0,[],1,mango,27,5e274e7a0c3809e14aba7ad5aae0d407,57b2a98a409812fe9618067b6b8ebe4f,35182,timoteo,MG,8,0,0,24.0,0.0,2410.0,45900.0,24.0,4140.0,SC,0.0,13.0,MALE,SAL,OWNED,12-11-1976,38.0,1,1,0,,0,,,45900.0,,,0,0,0,TIER 1,0,38.423475948195744,2017-09-17,1.6205510300016035,55740.90588633977,-18901.97899987164,11176.774452807223,297.006553296048,3443.2244059113,-3634.74621622635,3013.629862130276,-52.79974336255364,organic,2016.0066364886984,HartfordSpringfield,0,60.0,0,0.33,8.0,5.25,14.0,1.0,0.0,50.0,1,27.6,30.0,35.0,36.2,13.4,,P,8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,2018-01-01T00:07:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,5.0,3.4,1.5,0.2,setosa,Black Widow,Unique,2021.0,379.0,190%,79%,80%,-1%,200.0,183.0,196.0,80.3,25.8,-68%,43.8,48.30%,51.70%,40.20%,1,0,0,1,2,2,0.0,2,17.16,0,1.3506671834767394,Andrew,Male,-3.941,2.305,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,N,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8,West Brom,Leicester,1,0,2020,9,13,14,A Taylor,1.0,0.8,8.0,3.2,11.2,3.0,1.0,0.2,2.6,0.6,14.8,7.0,14.0,6.4,1.8,0.0,0.0,2020-09-13 14:00:00,ACUITY BRANDS INC,9782136881,0.14407,-0.63173,0.17782,0.25449,17.62321,0.10042,17.12408,"Average Quality, Fair Valuation",0.46398,2014.0,6.5,10,26000000.0,28000000.0,2714.0,1,3.0,2213659.0,2210.0,419.0,382.0,125646.0,74620569,68,24,0,0,73,0,S,44,12,34458,F,2022484408,4/1/2016 7:54:45 AM,102,9,"Postjeskade 41 2, Amsterdam",1058 DG,399000.0,49,3,4.854671,52.363471,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[278, 281, 41, 40]",1640,0,0,[],1,mango,28,5adf08e34b2e993982a47070956c5c65,1175e95fb47ddff9de6b2b06188f7e0d,81560,curitiba,PR,9,0,0,23.0,0.0,1255.0,23900.0,24.0,3712.0,MO,0.0,13.0,MALE,SELF,RENT,14-07-1988,26.0,2,1,1,,0,,,23900.0,,53.0,0,0,0,TIER 1,0,0.6941440867359898,2017-04-30,1.9271357602564296,250991.292143346,14570.566944159022,24412.999558518903,-119.09844131284916,12313.177654196936,39538.59687243781,31800.92098984893,-71.06262702254806,organic,2014.982837953488,Nashville,0,46.0,0,0.34,0.0,5.09,16.0,1.14,0.0,19.0,1,27.6,30.0,35.1,39.9,13.8,,N,8,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,2018-01-01T00:08:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,4.4,2.9,1.4,0.2,setosa,Captain America,Captain America,2011.0,370.0,264%,79%,75%,4%,140.0,176.0,193.0,65.0,25.0,-62%,36.8,47.60%,52.20%,46.40%,1,0,0,1,2,2,0.0,2,15.8,0,0.0,Andrew,Male,-3.86,2.116,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,N,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6,Leicester,West Brom,0,1,2020,9,13,14,A Taylor,2.4,0.4,9.8,5.0,11.4,6.4,2.2,0.0,1.6,0.8,12.6,4.2,12.8,4.0,1.8,0.0,0.6,2020-09-13 14:00:00,Acushnet Holdings Corp.,4208172100,0.11744,2.21554,0.20838,0.19949,18.05727,0.48742,19.87563,"Good Quality, Fair Valuation",0.53481,2014.0,6.1,8,48600000.0,12500000.0,2253.0,1,0.0,5218079.0,11709.0,532.0,770.0,21697300.0,73608781,33,36,2,120,33,0,S,2,12,37474,T,2022484408,4/1/2016 7:54:55 AM,106,10,"Van Ostadestraat 193 H, Amsterdam",1073 TM,300000.0,33,2,4.897142,52.353111,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[349, 336, 46, 47]",2162,0,0,[],1,mango,29,4b7139f34592b3a31687243a302fa75b,9afe194fb833f79e300e37e580171f22,30575,belo horizonte,MG,10,0,1,18.0,2.0,1748.0,25000.0,18.0,3409.0,MO,0.0,17.2,MALE,SELF,OWNED,11-01-1994,20.0,1,1,0,,0,,,25000.0,,,0,0,0,TIER 1,0,34.32328104691239,2016-09-25,1.8087658509007751,72094.05057101444,3685.547568018818,10240.26733397062,1299.0934150010485,12675.800624779018,10081.945319412394,11156.495095603692,115.25007158142024,organic,2015.984671506692,Jacksonville,0,54.0,0,0.14,13.0,4.49,15.5,1.19,0.0,25.0,1,28.5,30.7,36.2,39.3,13.7,,N,7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,2018-01-01T00:09:00,115.563,115.563,115.563,115.563,0.0,115.843,115.843,115.843,115.843,0.0,False,4.9,3.1,1.5,0.1,setosa,Captain America: Civil War,Captain America,2016.0,1151.0,460%,90%,89%,1%,250.0,408.0,743.0,179.0,72.6,-59%,43.9,35.40%,64.60%,71.60%,1,0,0,1,2,2,0.0,2,9.36,0,0.9400072584914712,Andrew,Male,-3.648,1.812,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,N,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5
