User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,team_playing,opponent,is_home,target,Year,Month,Day,Hour,Referee,team_playing_ft_goals_rolling_mean,team_playing_ht_goals_rolling_mean,team_playing_total_shots_rolling_mean,team_playing_shots_on_target_rolling_mean,team_playing_fouls_committed_rolling_mean,team_playing_corners_won_rolling_mean,team_playing_yellow_cards_rolling_mean,team_playing_red_cards_rolling_mean,opponent_ft_goals_rolling_mean,opponent_ht_goals_rolling_mean,opponent_total_shots_rolling_mean,opponent_shots_on_target_rolling_mean,opponent_fouls_committed_rolling_mean,opponent_corners_won_rolling_mean,opponent_yellow_cards_rolling_mean,opponent_red_cards_rolling_mean,target_rolling_mean,Date,company,mcap,operating margin,net debt / ebit,roe,croic,p/fcf,revenues,ev/fcf,total_score,gross margin,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate.Followers,CustomerID,Age,Months as a Customer,Number of Products,Average Balance Feed Index,Personal Debt to Equity Ratio,Has Bad Payment Record,Marital Status,Age Youngest Child,Number of Workers in Household,Income,Payed the Personal Loan,Id,Time,Value,Unnamed: 0,Address,Zip,Price,Area,Room,Lon,Lat,image_path,height,width,image_id,bbox,area,iscrowd,ignore,segmentation,category_id,category_name,annotation_id,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3,Fulham,Arsenal,1,0,2020,9,12,12,C Kavanagh,0.8,0.2,12.0,3.8,13.0,3.4,2.6,0.0,2.4,1.0,11.8,5.8,11.8,3.8,1.4,0.0,0.0,2020-09-12 12:00:00,21st Century Fox,80237921664,0.21194,-0.31514,0.41757,0.10884,12.50452,0.03407,12.39771,"Average Quality, Fair Valuation",0.35377,2014.0,6.3,8,9130.0,4000000.0,45.0,1,0.0,3280543.0,4632.0,425.0,636.0,1120000.0,75194349,32,36,3,229,40,0,S,11,6,39498,F,2022484408,4/1/2016 7:54:00 AM,93,1,"Blasiusstraat 8 2, Amsterdam",1091 CR,685000.0,64,3,4.907736,52.356157,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[127, 359, 37, 37]",1369,0,0,[],1,mango,20,06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP,1,0,0,24.0,0.0,2432.0,46500.0,24.0,1385.0,SC,0.0,12.75,FEMALE,HOUSEWIFE,OWNED,30-05-1974,40.0,1,1,0,,0,,,46500.0,,,0,0,0,TIER 1,0
2,Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7,Arsenal,Fulham,0,1,2020,9,12,12,C Kavanagh,1.6,0.6,8.2,4.0,8.6,4.2,1.0,0.0,1.2,0.8,11.8,4.0,12.0,4.8,2.0,0.0,0.6,2020-09-12 12:00:00,"A10 Networks, Inc.",1210301944,0.16897,-4.0668,0.22901,0.18061,22.31741,0.26287,18.93754,"Exceptional Quality, Fair Valuation",0.80693,2014.0,7.1,1,192000000.0,50000000.0,3306.0,2,2.0,583289.0,3465.0,61.0,186.0,12350000.0,72284570,61,48,2,8,47,0,M,13,13,68600,F,2022484408,4/1/2016 7:54:05 AM,91,2,"Kromme Leimuidenstraat 13 H, Amsterdam",1059 EL,475000.0,60,3,4.8504760000000005,52.348586,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[179, 287, 49, 49]",2401,0,0,[],1,mango,21,18955e83d337fd6b2def6b18a428ac77,290c77bc529b7ac935b93aa66c333dc3,9790,sao bernardo do campo,SP,2,0,1,24.0,1.0,1495.0,28168.0,24.0,2496.0,MO,0.0,13.65,MALE,SELF,RENT,01-09-1967,47.0,1,1,0,,0,,,28168.0,,,0,0,0,TIER 1,0
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8,Crystal Palace,Southampton,1,1,2020,9,12,15,J Moss,1.2,0.8,6.4,2.0,13.2,4.8,1.8,0.0,1.6,0.4,13.8,4.6,13.6,6.2,1.6,0.2,0.4,2020-09-12 15:00:00,ABBOTT LABORATORIES,203156739099,0.16241,1.07425,0.14407,0.10286,32.20963,0.31686,33.23019,"Average Quality, Fair Valuation",0.55552,2014.0,6.2,1,30700000.0,28000000.0,2872.0,1,0.0,304861.0,328.0,34.0,47.0,483000.0,71272069,35,36,0,0,35,0,U,1,9,38791,T,2022484408,4/1/2016 7:54:10 AM,96,3,"Zaaiersweg 11 A, Amsterdam",1097 SM,850000.0,109,4,4.944774,52.343782,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[173, 318, 46, 33]",1518,0,0,[],1,mango,22,4e7b3e00288586ebd08712fdd0374a03,060e732b5b29e8181a18229c7b0b2b5e,1151,sao paulo,SP,3,0,0,26.0,0.0,1707.0,38900.0,30.0,1346.0,SC,0.0,12.65,MALE,SELF,RENT,04-05-1983,31.0,9,6,3,55000.0,0,,105000.0,38900.0,34.0,31.0,31,31,16,TIER 1,0
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7,Southampton,Crystal Palace,0,0,2020,9,12,15,J Moss,1.6,0.8,10.8,5.2,13.0,3.0,1.6,0.0,1.8,0.8,8.0,3.6,12.2,4.8,1.6,0.0,0.4,2020-09-12 15:00:00,AbbVie Inc.,294352563602,0.27528,4.17309,0.84368,0.20261,18.80688,0.70539,22.86976,"High Quality, Fair Valuation",0.67205,2014.0,6.3,1,106000000.0,110000000.0,3470.0,2,0.0,452917.0,2429.0,132.0,590.0,568000.0,70830077,59,0,0,0,45,0,U,15,7,82831,F,2022484408,4/1/2016 7:54:15 AM,98,4,"Tenerifestraat 40, Amsterdam",1060 TH,580000.0,128,6,4.789928,52.343712,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[166, 108, 53, 58]",3074,0,0,[],1,mango,23,b2b6027bc5c5109e529d4dc6358b12c3,259dac757896d24d7702b9acbbff3f3c,8775,mogi das cruzes,SP,4,0,0,24.0,0.0,2128.0,42900.0,24.0,1375.0,SC,2.0,9.5,FEMALE,SAL,RENT,10-12-1989,24.0,1,1,0,,0,,,42900.0,,,0,0,0,TIER 1,0
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1,Liverpool,Leeds,1,1,2020,9,12,17,M Oliver,2.6,1.4,19.4,7.2,9.0,7.8,1.2,0.0,2.6,1.6,8.8,5.0,9.0,1.6,1.4,0.4,0.6,2020-09-12 17:00:00,ABERCROMBIE & FITCH CO /DE/,7282794772,0.14191,0.2322,0.41082,0.24858,13.24261,0.34824,13.61567,"High Quality, Fair Valuation",0.646,2014.0,4.7,8,17300000.0,3500000.0,2310.0,2,0.0,3145573.0,12163.0,610.0,1082.0,1923800.0,72658495,32,48,0,0,13,0,S,0,7,38097,T,2022484408,4/1/2016 7:54:20 AM,100,5,"Winterjanpad 21, Amsterdam",1036 KN,720000.0,138,5,4.902503,52.410538,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[207, 124, 45, 59]",2655,0,0,[],1,mango,24,4f2d8ab171c80ec8364f7c12e35b23ad,345ecd01c38d18a9036ed96c73b8d066,13056,campinas,SP,5,0,0,27.0,0.0,1824.0,40900.0,30.0,4140.0,MC,0.0,13.5,MALE,SAL,RENT,24-09-1984,30.0,1,1,0,,0,,,40900.0,,,0,0,0,TIER 1,0
6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2,Leeds,Liverpool,0,0,2020,9,12,17,M Oliver,1.8,0.8,11.6,5.6,9.4,5.4,1.2,0.0,1.8,1.0,16.0,4.2,13.8,6.0,1.4,0.0,0.4,2020-09-12 17:00:00,Acadia Pharmaceuticals Inc,2697212553,0.02562,-19.433,0.05915,0.13166,13.20146,1.90803,10.73901,"Average Quality, Fair Valuation",0.91725,2014.0,4.6,3,29000.0,500000.0,,1,0.0,91137.0,112.0,7.0,1.0,310000.0,75837519,51,48,2,119,45,0,S,14,10,47127,F,2022484408,4/1/2016 7:54:25 AM,101,6,"De Wittenkade 134 I, Amsterdam",1051 AM,450000.0,53,2,4.875024,52.382228,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[367, 7, 34, 43]",1462,0,0,[],1,mango,25,879864dab9bc3047522c92c82e1212b8,4c93744516667ad3b8f1fb645a3116a4,89254,jaragua do sul,SC,6,0,2,28.0,3.0,1802.0,40800.0,30.0,4140.0,SC,0.0,13.0,FEMALE,SELF,RENT,03-04-1983,31.0,1,1,0,,0,,,40800.0,,,0,0,0,TIER 1,0
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10,West Ham,Newcastle,1,0,2020,9,12,20,S Attwell,2.2,0.8,14.2,4.6,10.6,5.0,2.0,0.0,1.4,0.8,9.6,2.6,10.6,5.2,1.0,0.0,0.4,2020-09-12 20:00:00,Accenture plc,238205732894,0.15462,-0.08805,0.25651,0.2272,25.80666,0.48393,27.66035,"High Quality, Fair Valuation",0.32609,2014.0,6.1,8,42600000.0,40000000.0,3158.0,1,0.0,3013011.0,9595.0,419.0,1020.0,8153000.0,70278834,40,36,0,0,40,0,U,7,10,38218,T,2022484408,4/1/2016 7:54:30 AM,104,7,"Pruimenstraat 18 B, Amsterdam",1033 KM,450000.0,87,3,4.896536,52.410585,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[302, 194, 35, 47]",1645,0,0,[],1,mango,26,fd826e7cf63160e536e0908c76c3f441,addec96d2e059c80c30fe6871d30d177,4534,sao paulo,SP,7,0,1,26.0,2.0,2047.0,45900.0,30.0,2332.0,SC,0.0,13.5,MALE,SAL,RENT,05-10-1964,50.0,2,1,1,,0,,,45900.0,,26.0,1,0,0,TIER 1,0
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6,Newcastle,West Ham,0,1,2020,9,12,20,S Attwell,1.4,0.4,8.8,2.4,10.8,4.2,2.4,0.0,1.8,0.8,17.2,7.6,14.4,6.0,1.4,0.2,0.4,2020-09-12 20:00:00,ACME UNITED CORP,155494787,0.07324,1.91512,0.18361,0.08349,24.64657,0.30196,30.27185,"Moderate Quality, Overvalued",0.39367,2014.0,7.1,1,5750000.0,20000000.0,818.0,1,2.0,1854103.0,2207.0,197.0,593.0,130655.0,73589493,33,36,0,0,36,0,S,7,4,36741,F,2022484408,4/1/2016 7:54:35 AM,105,8,"Da Costakade 32 II, Amsterdam",1053 WL,590000.0,80,2,4.871555,52.371041,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[277, 243, 42, 49]",2058,0,0,[],1,mango,27,5e274e7a0c3809e14aba7ad5aae0d407,57b2a98a409812fe9618067b6b8ebe4f,35182,timoteo,MG,8,0,0,24.0,0.0,2410.0,45900.0,24.0,4140.0,SC,0.0,13.0,MALE,SAL,OWNED,12-11-1976,38.0,1,1,0,,0,,,45900.0,,,0,0,0,TIER 1,0
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8,West Brom,Leicester,1,0,2020,9,13,14,A Taylor,1.0,0.8,8.0,3.2,11.2,3.0,1.0,0.2,2.6,0.6,14.8,7.0,14.0,6.4,1.8,0.0,0.0,2020-09-13 14:00:00,ACUITY BRANDS INC,9782136881,0.14407,-0.63173,0.17782,0.25449,17.62321,0.10042,17.12408,"Average Quality, Fair Valuation",0.46398,2014.0,6.5,10,26000000.0,28000000.0,2714.0,1,3.0,2213659.0,2210.0,419.0,382.0,125646.0,74620569,68,24,0,0,73,0,S,44,12,34458,F,2022484408,4/1/2016 7:54:45 AM,102,9,"Postjeskade 41 2, Amsterdam",1058 DG,399000.0,49,3,4.854671,52.363471,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[278, 281, 41, 40]",1640,0,0,[],1,mango,28,5adf08e34b2e993982a47070956c5c65,1175e95fb47ddff9de6b2b06188f7e0d,81560,curitiba,PR,9,0,0,23.0,0.0,1255.0,23900.0,24.0,3712.0,MO,0.0,13.0,MALE,SELF,RENT,14-07-1988,26.0,2,1,1,,0,,,23900.0,,53.0,0,0,0,TIER 1,0
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6,Leicester,West Brom,0,1,2020,9,13,14,A Taylor,2.4,0.4,9.8,5.0,11.4,6.4,2.2,0.0,1.6,0.8,12.6,4.2,12.8,4.0,1.8,0.0,0.6,2020-09-13 14:00:00,Acushnet Holdings Corp.,4208172100,0.11744,2.21554,0.20838,0.19949,18.05727,0.48742,19.87563,"Good Quality, Fair Valuation",0.53481,2014.0,6.1,8,48600000.0,12500000.0,2253.0,1,0.0,5218079.0,11709.0,532.0,770.0,21697300.0,73608781,33,36,2,120,33,0,S,2,12,37474,T,2022484408,4/1/2016 7:54:55 AM,106,10,"Van Ostadestraat 193 H, Amsterdam",1073 TM,300000.0,33,2,4.897142,52.353111,https://datasetsnaitik.s3.us-west-2.amazonaws.com/images/gear9n_(5)_03_01.jpg,512,612,950301,"[349, 336, 46, 47]",2162,0,0,[],1,mango,29,4b7139f34592b3a31687243a302fa75b,9afe194fb833f79e300e37e580171f22,30575,belo horizonte,MG,10,0,1,18.0,2.0,1748.0,25000.0,18.0,3409.0,MO,0.0,17.2,MALE,SELF,OWNED,11-01-1994,20.0,1,1,0,,0,,,25000.0,,,0,0,0,TIER 1,0
